"ndc","rxcui","atc4","atc4_name"
"00002751101",752388,"A10AB","Insulins and analogues for injection, fast-acting"
"00002751101",752388,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002751101",752388,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002751201",731281,"A10AB","Insulins and analogues for injection, fast-acting"
"00002751201",731281,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002751201",731281,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002755901",351146,"B01AD","Enzymes"
"00002759701",545353,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002762301",1728075,"L01BA","Folic acid analogues"
"00002763511",1718936,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002763611",1718932,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002763711",1718928,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002764001",1728079,"L01BA","Folic acid analogues"
"00002767801",1657781,"L01FG","VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors"
"00002771201",1652242,"A10AB","Insulins and analogues for injection, fast-acting"
"00002771201",1652242,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002771201",1652242,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002771401",1926332,"A10AB","Insulins and analogues for injection, fast-acting"
"00002771401",1926332,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002771401",1926332,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002772401",1745114,"L04AC","Interleukin inhibitors"
"00002809001",582971,"H01AC","Somatropin and somatropin agonists"
"00002821501",311036,"A10AB","Insulins and analogues for injection, fast-acting"
"00002821501",311036,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002821501",311036,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002821501",311036,"A10AE","Insulins and analogues for injection, long-acting"
"00002821501",311036,"A10AF","Insulins and analogues for inhalation"
"00002823301",847252,"A10AB","Insulins and analogues for injection, fast-acting"
"00002823301",847252,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002823301",847252,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002831501",311026,NA,NA
"00002840001",1435117,"H05AA","Parathyroid hormones and analogues"
"00002850101",351859,"A10AB","Insulins and analogues for injection, fast-acting"
"00002850101",351859,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002850101",351859,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002850101",351859,"A10AE","Insulins and analogues for injection, long-acting"
"00002850101",351859,"A10AF","Insulins and analogues for inhalation"
"00002871501",106892,"A10AB","Insulins and analogues for injection, fast-acting"
"00002871501",106892,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002871501",106892,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002871501",106892,"A10AE","Insulins and analogues for injection, long-acting"
"00002871501",106892,"A10AF","Insulins and analogues for inhalation"
"00002879301",847213,"A10AB","Insulins and analogues for injection, fast-acting"
"00002879301",847213,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002879301",847213,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002879401",847254,"A10AB","Insulins and analogues for injection, fast-acting"
"00002879401",847254,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002879401",847254,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002882401",1731317,"A10AB","Insulins and analogues for injection, fast-acting"
"00002882401",1731317,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002882401",1731317,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"00002882401",1731317,"A10AE","Insulins and analogues for injection, long-acting"
"00002882401",1731317,"A10AF","Insulins and analogues for inhalation"
"00002897101",1435117,"H05AA","Parathyroid hormones and analogues"
"00003021301",1660191,NA,NA
"00003021501",1660196,NA,NA
"00003029305",2480108,"A01AC","Corticosteroids for local oral treatment"
"00003029305",2480108,"C05AA","Corticosteroids"
"00003029305",2480108,"D07AB","Corticosteroids, moderately potent (group II)"
"00003029305",2480108,"D07XB","Corticosteroids, moderately potent, other combinations"
"00003029305",2480108,"H02AB","Glucocorticoids"
"00003029305",2480108,"R01AD","Corticosteroids"
"00003029305",2480108,"R03BA","Glucocorticoids"
"00003029305",2480108,"S01BA","Corticosteroids, plain"
"00003029320",1085756,"A01AC","Corticosteroids for local oral treatment"
"00003029320",1085756,"C05AA","Corticosteroids"
"00003029320",1085756,"D07AB","Corticosteroids, moderately potent (group II)"
"00003029320",1085756,"D07XB","Corticosteroids, moderately potent, other combinations"
"00003029320",1085756,"H02AB","Glucocorticoids"
"00003029320",1085756,"R01AD","Corticosteroids"
"00003029320",1085756,"R03BA","Glucocorticoids"
"00003029320",1085756,"S01BA","Corticosteroids, plain"
"00003037113",1112980,"L04AA","Selective immunosuppressants"
"00003043730",239240,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"00003043730",239240,"A07AA","Antibiotics"
"00003043730",239240,"G01AA","Antibiotics"
"00003043730",239240,"J02AA","Antibiotics"
"00003049420",1085752,"A01AC","Corticosteroids for local oral treatment"
"00003049420",1085752,"C05AA","Corticosteroids"
"00003049420",1085752,"D07AB","Corticosteroids, moderately potent (group II)"
"00003049420",1085752,"D07XB","Corticosteroids, moderately potent, other combinations"
"00003049420",1085752,"H02AB","Glucocorticoids"
"00003049420",1085752,"R01AD","Corticosteroids"
"00003049420",1085752,"R03BA","Glucocorticoids"
"00003049420",1085752,"S01BA","Corticosteroids, plain"
"00003051616",309594,"B03BA","Vitamin B12 (cyanocobalamin and analogues)"
"00003052411",643177,"L01EA","BCR-ABL tyrosine kinase inhibitors"
"00003052711",643173,"L01EA","BCR-ABL tyrosine kinase inhibitors"
"00003052811",643175,"L01EA","BCR-ABL tyrosine kinase inhibitors"
"00003056902",859833,NA,NA
"00003059320",646456,"A07AA","Antibiotics"
"00003059320",646456,"D01AA","Antibiotics"
"00003059320",646456,"G01AA","Antibiotics"
"00003063441",745300,NA,NA
"00003066805",745302,"J01CE","Beta-lactamase sensitive penicillins"
"00003066805",745302,"S01AA","Antibiotics"
"00003080110",861848,"N05AB","Phenothiazines with piperazine structure"
"00003085222",799830,"L01EA","BCR-ABL tyrosine kinase inhibitors"
"00003085722",1045404,"L01EA","BCR-ABL tyrosine kinase inhibitors"
"00003089331",1364441,"B01AF","Direct factor Xa inhibitors"
"00003089431",1364447,"B01AF","Direct factor Xa inhibitors"
"00003142711",1486981,"A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors"
"00003142811",1486977,"A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors"
"00003148220",206546,"D07AD","Corticosteroids, very potent (group IV)"
"00003161112",578457,"J05AF","Nucleoside and nucleotide reverse transcriptase inhibitors"
"00003161212",578459,"J05AF","Nucleoside and nucleotide reverse transcriptase inhibitors"
"00003161412",607579,"J05AF","Nucleoside and nucleotide reverse transcriptase inhibitors"
"00003196401",313107,"J05AF","Nucleoside and nucleotide reverse transcriptase inhibitors"
"00003196501",313108,"J05AF","Nucleoside and nucleotide reverse transcriptase inhibitors"
"00003218710",616018,"L04AA","Selective immunosuppressants"
"00003218713",616018,"L04AA","Selective immunosuppressants"
"00003218811",1145932,"L04AA","Selective immunosuppressants"
"00003218851",1799230,"L04AA","Selective immunosuppressants"
"00003223011",1664984,"J01DF","Monobactams"
"00003224011",1664988,"J01DF","Monobactams"
"00003232711",1657013,"L01FX","Other monoclonal antibodies and antibody drug conjugates"
"00003232822",1657007,"L01FX","Other monoclonal antibodies and antibody drug conjugates"
"00003256016",1664984,"J01DF","Monobactams"
"00003271320",1743549,"J01CF","Beta-lactamase resistant penicillins"
"00003291920",1721475,"J01CA","Penicillins with extended spectrum"
"00003291920",1721475,"S01AA","Antibiotics"
"00003292020",1721476,"J01CA","Penicillins with extended spectrum"
"00003292020",1721476,"S01AA","Antibiotics"
"00003296320",1361226,"B01AB","Heparin group"
"00003296320",1361226,"C05BA","Heparins or heparinoids for topical use"
"00003296320",1361226,"S01XA","Other ophthalmologicals"
"00003298920",1721458,"J01CF","Beta-lactamase resistant penicillins"
"00003299120",1721460,"J01CF","Beta-lactamase resistant penicillins"
"00003362312",402245,"J05AE","Protease inhibitors"
"00003362412",402094,"J05AE","Protease inhibitors"
"00003363112",402093,"J05AE","Protease inhibitors"
"00003376474",1992428,"B01AF","Direct factor Xa inhibitors"
"00003377211",1657192,"L01FF","PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors"
"00003377412",1657196,"L01FF","PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors"
"00003401893",1486846,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"00003401893",1486846,"A07AC","Imidazole derivatives"
"00003401893",1486846,"D01AC","Imidazole and triazole derivatives"
"00003401893",1486846,"G01AF","Imidazole derivatives"
"00003401893",1486846,"J02AB","Imidazole derivatives"
"00003401893",1486846,"S02AA","Antiinfectives"
"00003421411",858044,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00003422111",1043582,"A10BD","Combinations of oral blood glucose lowering drugs"
"00003422111",1043582,"A10BA","Biguanides"
"00003422111",1043582,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00003422216",1043567,"A10BD","Combinations of oral blood glucose lowering drugs"
"00003422216",1043567,"A10BA","Biguanides"
"00003422216",1043567,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00003422311",1043574,"A10BD","Combinations of oral blood glucose lowering drugs"
"00003422311",1043574,"A10BA","Biguanides"
"00003422311",1043574,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00003633517",213282,"L01XX","Other antineoplastic agents"
"00003633617",213283,"L01XX","Other antineoplastic agents"
"00003633717",213284,"L01XX","Other antineoplastic agents"
"00004001823",208558,"B01AC","Platelet aggregation inhibitors excl. heparin"
"00004003501",198022,"N07AA","Anticholinesterases"
"00004003501",198022,"S01EB","Parasympathomimetics"
"00004003822",284587,"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"00004003909",863562,"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"00004004401",197873,NA,NA
"00004014301",209006,"A11CC","Vitamin D and analogues"
"00004014301",209006,"D05AX","Other antipsoriatics for topical use"
"00004014401",209007,"A11CC","Vitamin D and analogues"
"00004014401",209007,"D05AX","Other antipsoriatics for topical use"
"00004018301",858613,"C08CA","Dihydropyridine derivatives"
"00004018401",858616,"C08CA","Dihydropyridine derivatives"
"00004018523",904936,"M05BA","Bisphosphonates"
"00004024009",240912,"A04AA","Serotonin (5HT3) antagonists"
"00004024126",310599,"A04AA","Serotonin (5HT3) antagonists"
"00004024515",200105,"J05AE","Protease inhibitors"
"00004025001",199159,"D10AD","Retinoids for topical use in acne"
"00004025001",199159,"L01XF","Retinoids for cancer treatment"
"00004025901",616447,NA,NA
"00004026001",616435,NA,NA
"00004026129",616444,NA,NA
"00004026249",198372,"C03CA","Sulfonamides, plain"
"00004026449",208081,"C03CA","Sulfonamides, plain"
"00004026501",198370,"C03CA","Sulfonamides, plain"
"00004026706",1729527,"C03CA","Sulfonamides, plain"
"00004029809",213394,NA,NA
"00004035009",352297,"L03AB","Interferons"
"00004035239",731328,"L03AB","Interferons"
"00004035730",731328,"L03AB","Interferons"
"00004036030",1650896,NA,NA
"00004036530",1650940,"L03AB","Interferons"
"00004038039",404460,"J05AX","Other antivirals"
"00004038140",404460,"J05AX","Other antivirals"
"00004080085",261315,"J05AH","Neuraminidase inhibitors"
"00004080285",728111,"J05AH","Neuraminidase inhibitors"
"00004081095",314157,"J05AH","Neuraminidase inhibitors"
"00004082009",1115700,"J05AH","Neuraminidase inhibitors"
"00004082205",1115700,"J05AH","Neuraminidase inhibitors"
"00004110150",213293,"L01BC","Pyrimidine analogues"
"00004194406",282486,"C03CA","Sulfonamides, plain"
"00004195401",313693,NA,NA
"00004196301",1665046,"J01DD","Third-generation cephalosporins"
"00004196401",1665046,"J01DD","Third-generation cephalosporins"
"00004196405",1665046,"J01DD","Third-generation cephalosporins"
"00004196505",1665046,"J01DD","Third-generation cephalosporins"
"00004631301",105898,"G02CC","Antiinflammatory products for vaginal administration"
"00004631301",105898,"M01AE","Propionic acid derivatives"
"00004631301",105898,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"00004691106",204508,"V03AB","Antidotes"
"00004692006",860094,NA,NA
"00004692106",860094,NA,NA
"00004694003",205743,"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"00004694003",205743,"S01AD","Antivirals"
"00005010005",1593140,NA,NA
"00005197101",901644,NA,NA
"00005197102",901644,NA,NA
"00005389923",197450,"J01DD","Third-generation cephalosporins"
"00005434462",311863,NA,NA
"00005446119",1128712,NA,NA
"00005452835",311866,NA,NA
"00005479655",1542813,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"00005479655",1542813,"D06AA","Tetracycline and derivatives"
"00005479655",1542813,"J01AA","Tetracyclines"
"00005479655",1542813,"S01AA","Antibiotics"
"00005479655",1542813,"S02AA","Antiinfectives"
"00005479655",1542813,"S03AA","Antiinfectives"
"00005486090",706990,NA,NA
"00005490592",1312793,NA,NA
"00005534323",207353,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"00005534323",207353,"D10AF","Antiinfectives for treatment of acne"
"00005534323",207353,"J01AA","Tetracyclines"
"00005551210",2004519,NA,NA
"00005555619",1947939,NA,NA
"00005556619",1264303,NA,NA
"00005556819",1442443,"A02AC","Calcium compounds"
"00005556819",1442443,"A12AA","Calcium"
"00005556819",1442443,"A11CC","Vitamin D and analogues"
"00005921823",905343,"D06AA","Tetracycline and derivatives"
"00005921823",905343,"J01AA","Tetracyclines"
"00005927029",905349,"D06AA","Tetracycline and derivatives"
"00005927029",905349,"J01AA","Tetracyclines"
"00006000510",1547575,"N05CM","Other hypnotics and sedatives"
"00006003121",904433,"M05BA","Bisphosphonates"
"00006003220",261314,"D11AX","Other dermatologicals"
"00006003220",261314,"P02CF","Avermectines"
"00006003310",1547110,"N05CM","Other hypnotics and sedatives"
"00006004368",207839,"B02BA","Vitamin K"
"00006006568",1251905,"C03CC","Aryloxyacetic acid derivatives"
"00006007131",213178,"D11AX","Other dermatologicals"
"00006007131",213178,"G04CB","Testosterone-5-alpha reductase inhibitors"
"00006007861",1243848,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00006007861",1243848,"A10BA","Biguanides"
"00006007861",1243848,"A10BD","Combinations of oral blood glucose lowering drugs"
"00006008061",1243843,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00006008061",1243843,"A10BA","Biguanides"
"00006008061",1243843,"A10BD","Combinations of oral blood glucose lowering drugs"
"00006008131",1243833,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00006008131",1243833,"A10BA","Biguanides"
"00006008131",1243833,"A10BD","Combinations of oral blood glucose lowering drugs"
"00006009068",1251907,"C03CC","Aryloxyacetic acid derivatives"
"00006011231",665044,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00006011728",153892,"R03DC","Leukotriene receptor antagonists"
"00006013910",199998,"D11AX","Other dermatologicals"
"00006013910",199998,"P02CF","Avermectines"
"00006021231",904405,"M05BA","Bisphosphonates"
"00006022761",744846,"J05AJ","Integrase inhibitors"
"00006026706",213322,"N02CC","Selective serotonin (5HT1) agonists"
"00006027044",904465,"M05BA","Bisphosphonates"
"00006027044",904465,"A11CC","Vitamin D and analogues"
"00006027528",153893,"R03DC","Leukotriene receptor antagonists"
"00006027731",665036,"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"00006032510",1547114,"N05CM","Other hypnotics and sedatives"
"00006033510",1547118,"N05CM","Other hypnotics and sedatives"
"00006046106",404465,"A04AD","Other antiemetics"
"00006046206",404466,"A04AD","Other antiemetics"
"00006047761",1235591,"J05AJ","Integrase inhibitors"
"00006056840",668606,"L01XH","Histone deacetylase (HDAC) inhibitors"
"00006057354",153128,"J05AE","Protease inhibitors"
"00006066168",208720,"A16AX","Various alimentary tract and metabolism products"
"00006073128",206257,"C10AA","HMG CoA reductase inhibitors"
"00006092558",904427,"M05BA","Bisphosphonates"
"00006093628",904421,"M05BA","Bisphosphonates"
"00006095128",979487,"C09CA","Angiotensin II receptor blockers (ARBs), plain"
"00006095228",979494,"C09CA","Angiotensin II receptor blockers (ARBs), plain"
"00006096328",104094,"A02BA","H2-receptor antagonists"
"00006302601",1657751,"L01FF","PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors"
"00006302602",1657751,"L01FF","PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors"
"00006302901",1657749,"L01FF","PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors"
"00006306100",1731082,NA,NA
"00006306901",2055766,"J05AG","Non-nucleoside reverse transcriptase inhibitors"
"00006307401",1734642,"J05AP","Antivirals for treatment of HCV infections"
"00006307401",1734642,"J05AP","Antivirals for treatment of HCV infections"
"00006307401",1734642,"J05AP","Antivirals for treatment of HCV infections"
"00006307501",1988671,"J05AX","Other antivirals"
"00006307601",1988675,"J05AX","Other antivirals"
"00006307604",1988675,"J05AX","Other antivirals"
"00006308001",1924315,"J05AJ","Integrase inhibitors"
"00006335645",1665105,"J01DC","Second-generation cephalosporins"
"00006337666",206971,"C01EB","Other cardiac preparations"
"00006337666",206971,"M01AB","Acetic acid derivatives and related substances"
"00006337666",206971,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"00006337666",206971,"S01BC","Antiinflammatory agents, non-steroids"
"00006351659",1726216,"J01DH","Carbapenems"
"00006351936",151100,"S01EC","Carbonic anhydrase inhibitors"
"00006353750",199739,"A02BA","H2-receptor antagonists"
"00006355328",197690,"A02BA","H2-receptor antagonists"
"00006355431",197691,"A02BA","H2-receptor antagonists"
"00006362050",211509,NA,NA
"00006362836",1923433,"C07AA","Beta blocking agents, non-selective"
"00006362836",1923433,"S01ED","Beta blocking agents"
"00006362836",1923433,"S01EC","Carbonic anhydrase inhibitors"
"00006382310",828541,"J02AX","Other antimycotics for systemic use"
"00006384371",1734686,"J01DH","Carbapenems"
"00006384501",1734686,"J01DH","Carbapenems"
"00006394132",1731082,NA,NA
"00006409401",830245,NA,NA
"00006410901",798278,NA,NA
"00006461200",861052,NA,NA
"00006467300",762823,NA,NA
"00006468100",804186,NA,NA
"00006473900",854981,NA,NA
"00006482700",1292459,"J07BK","Varicella zoster vaccines"
"00006484141",1658102,NA,NA
"00006494300",1658472,NA,NA
"00006498100",1658155,NA,NA
"00006499541",1658150,NA,NA
"00006500401",1988661,"J05AX","Other antivirals"
"00006536403",1992821,"A10BK","Sodium-glucose co-transporter 2 (SGLT2) inhibitors"
"00006542305",1727001,"V03AB","Antidotes"
"00006542312",1726997,"V03AB","Antidotes"
"00006542315",1727001,"V03AB","Antidotes"
"00006778629",857251,NA,NA
"00007323001",861362,"B01AX","Other antithrombotic agents"
"00007323002",861362,"B01AX","Other antithrombotic agents"
"00007323211",861364,"B01AX","Other antithrombotic agents"
"00007323411",861366,"B01AX","Other antithrombotic agents"
"00007351215",884537,"N06BA","Centrally acting sympathomimetics"
"00007351920",884386,"N06BA","Centrally acting sympathomimetics"
"00007365021",208124,"C03DB","Other potassium-sparing agents"
"00007365021",208124,"C03AA","Thiazides, plain"
"00007413920",686926,"C07AG","Alpha and beta blocking agents"
"00007420101",637550,"L01CE","Topoisomerase 1 (TOP1) inhibitors"
"00007420511",748738,"L01CE","Topoisomerase 1 (TOP1) inhibitors"
"00007420711",748740,"L01CE","Topoisomerase 1 (TOP1) inhibitors"
"00007440106",616366,"L01BB","Purine analogues"
"00007440701",308351,"B01AE","Direct thrombin inhibitors"
"00007447120",104838,"N06AF","Monoamine oxidase inhibitors, non-selective"
"00007464013",825425,"B02BX","Other systemic hemostatics"
"00007464113",825429,"B02BX","Other systemic hemostatics"
"00007464213",884619,"B02BX","Other systemic hemostatics"
"00007489020",312845,"N04BC","Dopamine agonists"
"00007489220",152953,"N04BC","Dopamine agonists"
"00007506415",991343,NA,NA
"00007506615",992706,NA,NA
"00007521006",903696,"H03AA","Thyroid hormones"
"00007550040",211148,"P02CA","Benzimidazole derivatives"
"00008002707",992447,"D04AA","Antihistamines for topical use"
"00008002707",992447,"R06AD","Phenothiazine derivatives"
"00008005703",311897,"J01CF","Beta-lactamase resistant penicillins"
"00008020701",1232113,"N02AA","Natural opium alkaloids"
"00008027701",1362831,"B01AB","Heparin group"
"00008027701",1362831,"C05BA","Heparins or heparinoids for topical use"
"00008027701",1362831,"S01XA","Other ophthalmologicals"
"00008027702",1361853,"B01AB","Heparin group"
"00008027702",1361853,"C05BA","Heparins or heparinoids for topical use"
"00008027702",1361853,"S01XA","Other ophthalmologicals"
"00008029301",849783,NA,NA
"00008029501",897745,"N02AA","Natural opium alkaloids"
"00008029601",897753,"N02AA","Natural opium alkaloids"
"00008030201",313324,"A11DA","Vitamin B1, plain"
"00008031541",NA,NA,NA
"00008033302",313002,"A12CA","Sodium"
"00008033302",313002,"B05CB","Salt solutions"
"00008033302",313002,"B05XA","Electrolyte solutions"
"00008038701",897653,"N02AA","Natural opium alkaloids"
"00008038801",898320,NA,NA
"00008043128",1721460,"J01CF","Beta-lactamase resistant penicillins"
"00008048201",1361577,"B01AB","Heparin group"
"00008048201",1361577,"C05BA","Heparins or heparinoids for topical use"
"00008048201",1361577,"S01XA","Other ophthalmologicals"
"00008054001",1797063,NA,NA
"00008070101",313582,"N06AX","Other antidepressants"
"00008070401",313586,"N06AX","Other antidepressants"
"00008077102",311197,"C01DA","Organic nitrates"
"00008078102",313584,"N06AX","Other antidepressants"
"00008083303",729929,"N06AX","Other antidepressants"
"00008083703",729932,"N06AX","Other antidepressants"
"00008083721",729932,"N06AX","Other antidepressants"
"00008084199",284400,"A02BC","Proton pump inhibitors"
"00008084401",763308,"A02BC","Proton pump inhibitors"
"00008084402",763308,"A02BC","Proton pump inhibitors"
"00008092355",885257,"A02BC","Proton pump inhibitors"
"00008092360",885257,"A02BC","Proton pump inhibitors"
"00008092681",261286,"N05CF","Benzodiazepine related drugs"
"00008103006",351901,"L04AA","Selective immunosuppressants"
"00008103006",351901,"S01XA","Other ophthalmologicals"
"00008103105",351989,"L04AA","Selective immunosuppressants"
"00008103105",351989,"S01XA","Other ophthalmologicals"
"00008103205",404432,"L04AA","Selective immunosuppressants"
"00008103205",404432,"S01XA","Other ophthalmologicals"
"00008104005",905160,"L04AA","Selective immunosuppressants"
"00008104005",905160,"S01XA","Other ophthalmologicals"
"00008104110",351989,"L04AA","Selective immunosuppressants"
"00008104110",351989,"S01XA","Other ophthalmologicals"
"00008104205",404432,"L04AA","Selective immunosuppressants"
"00008104205",404432,"S01XA","Other ophthalmologicals"
"00008112312",1441740,"G03XC","Selective estrogen receptor modulators"
"00008112312",1441740,"G03CC","Estrogens, combinations with other drugs"
"00008112312",1441740,"G03CA","Natural and semisynthetic estrogens, plain"
"00008117901",725108,"L01EG","Mammalian target of rapamycin (mTOR) kinase inhibitors"
"00008121801",979115,"A06AH","Peripheral opioid receptor antagonists"
"00008122214",790267,"N06AX","Other antidepressants"
"00008253303",748886,NA,NA
"00008256401",201201,NA,NA
"00008411701",835721,"J04AD","Thiocarbamide derivatives"
"00008451001",1944704,"L01FX","Other monoclonal antibodies and antibody drug conjugates"
"00008499002",584201,"J01AA","Tetracyclines"
"00008499020",584201,"J01AA","Tetracyclines"
"00008536002",584201,"J01AA","Tetracyclines"
"00009000302",1743722,"D07AA","Corticosteroids, weak (group I)"
"00009000302",1743722,"D10AA","Corticosteroids, combinations for treatment of acne"
"00009000302",1743722,"H02AB","Glucocorticoids"
"00009000402",859042,"N04BC","Dopamine agonists"
"00009000501",1738589,"A01AC","Corticosteroids for local oral treatment"
"00009000501",1738589,"A07EA","Corticosteroids acting locally"
"00009000501",1738589,"C05AA","Corticosteroids"
"00009000501",1738589,"D07AA","Corticosteroids, weak (group I)"
"00009000501",1738589,"D07XA","Corticosteroids, weak, other combinations"
"00009000501",1738589,"H02AB","Glucocorticoids"
"00009000501",1738589,"S01BA","Corticosteroids, plain"
"00009000501",1738589,"S01CB","Corticosteroids/antiinfectives/mydriatics in combination"
